Aa,Ad,Ba,Bd,l,s1,s2,p
0,0,0,0,24,0,0,0.16666666666666666
0,0,0,0,24,0,1,0.08333333333333333
0,0,0,0,24,0,2,0.0
0,0,0,0,24,0,3,0.0
0,0,0,0,24,0,4,0.0
0,0,0,0,24,0,5,0.0
0,0,0,0,24,0,6,0.0
0,0,0,0,24,0,7,0.0
0,0,0,0,24,0,8,0.0
0,0,0,0,24,0,9,0.0
0,0,0,0,24,1,0,0.16666666666666666
0,0,0,0,24,1,1,0.041666666666666664
0,0,0,0,24,1,2,0.0
0,0,0,0,24,1,3,0.041666666666666664
0,0,0,0,24,1,4,0.0
0,0,0,0,24,1,5,0.0
0,0,0,0,24,1,6,0.0
0,0,0,0,24,1,7,0.0
0,0,0,0,24,1,8,0.0
0,0,0,0,24,1,9,0.0
0,0,0,0,24,2,0,0.08333333333333333
0,0,0,0,24,2,1,0.041666666666666664
0,0,0,0,24,2,2,0.08333333333333333
0,0,0,0,24,2,3,0.041666666666666664
0,0,0,0,24,2,4,0.0
0,0,0,0,24,2,5,0.0
0,0,0,0,24,2,6,0.0
0,0,0,0,24,2,7,0.0
0,0,0,0,24,2,8,0.0
0,0,0,0,24,2,9,0.0
0,0,0,0,24,3,0,0.041666666666666664
0,0,0,0,24,3,1,0.08333333333333333
0,0,0,0,24,3,2,0.08333333333333333
0,0,0,0,24,3,3,0.0
0,0,0,0,24,3,4,0.0
0,0,0,0,24,3,5,0.0
0,0,0,0,24,3,6,0.0
0,0,0,0,24,3,7,0.0
0,0,0,0,24,3,8,0.0
0,0,0,0,24,3,9,0.0
0,0,0,0,24,4,0,0.0
0,0,0,0,24,4,1,0.041666666666666664
0,0,0,0,24,4,2,0.0
0,0,0,0,24,4,3,0.0
0,0,0,0,24,4,4,0.0
0,0,0,0,24,4,5,0.0
0,0,0,0,24,4,6,0.0
0,0,0,0,24,4,7,0.0
0,0,0,0,24,4,8,0.0
0,0,0,0,24,4,9,0.0
0,0,0,0,24,5,0,0.0
0,0,0,0,24,5,1,0.0
0,0,0,0,24,5,2,0.0
0,0,0,0,24,5,3,0.0
0,0,0,0,24,5,4,0.0
0,0,0,0,24,5,5,0.0
0,0,0,0,24,5,6,0.0
0,0,0,0,24,5,7,0.0
0,0,0,0,24,5,8,0.0
0,0,0,0,24,5,9,0.0
0,0,0,0,24,6,0,0.0
0,0,0,0,24,6,1,0.0
0,0,0,0,24,6,2,0.0
0,0,0,0,24,6,3,0.0
0,0,0,0,24,6,4,0.0
0,0,0,0,24,6,5,0.0
0,0,0,0,24,6,6,0.0
0,0,0,0,24,6,7,0.0
0,0,0,0,24,6,8,0.0
0,0,0,0,24,6,9,0.0
0,0,0,0,24,7,0,0.0
0,0,0,0,24,7,1,0.0
0,0,0,0,24,7,2,0.0
0,0,0,0,24,7,3,0.0
0,0,0,0,24,7,4,0.0
0,0,0,0,24,7,5,0.0
0,0,0,0,24,7,6,0.0
0,0,0,0,24,7,7,0.0
0,0,0,0,24,7,8,0.0
0,0,0,0,24,7,9,0.0
0,0,0,0,24,8,0,0.0
0,0,0,0,24,8,1,0.0
0,0,0,0,24,8,2,0.0
0,0,0,0,24,8,3,0.0
0,0,0,0,24,8,4,0.0
0,0,0,0,24,8,5,0.0
0,0,0,0,24,8,6,0.0
0,0,0,0,24,8,7,0.0
0,0,0,0,24,8,8,0.0
0,0,0,0,24,8,9,0.0
0,0,0,0,24,9,0,0.0
0,0,0,0,24,9,1,0.0
0,0,0,0,24,9,2,0.0
0,0,0,0,24,9,3,0.0
0,0,0,0,24,9,4,0.0
0,0,0,0,24,9,5,0.0
0,0,0,0,24,9,6,0.0
0,0,0,0,24,9,7,0.0
0,0,0,0,24,9,8,0.0
0,0,0,0,24,9,9,0.0
0,0,0,1,21,0,0,0.2857142857142857
0,0,0,1,21,0,1,0.0
0,0,0,1,21,0,2,0.0
0,0,0,1,21,0,3,0.0
0,0,0,1,21,0,4,0.0
0,0,0,1,21,0,5,0.0
0,0,0,1,21,0,6,0.0
0,0,0,1,21,0,7,0.0
0,0,0,1,21,0,8,0.0
0,0,0,1,21,0,9,0.0
0,0,0,1,21,1,0,0.14285714285714285
0,0,0,1,21,1,1,0.23809523809523808
0,0,0,1,21,1,2,0.047619047619047616
0,0,0,1,21,1,3,0.0
0,0,0,1,21,1,4,0.0
0,0,0,1,21,1,5,0.0
0,0,0,1,21,1,6,0.0
0,0,0,1,21,1,7,0.0
0,0,0,1,21,1,8,0.0
0,0,0,1,21,1,9,0.0
0,0,0,1,21,2,0,0.047619047619047616
0,0,0,1,21,2,1,0.09523809523809523
0,0,0,1,21,2,2,0.0
0,0,0,1,21,2,3,0.0
0,0,0,1,21,2,4,0.0
0,0,0,1,21,2,5,0.0
0,0,0,1,21,2,6,0.0
0,0,0,1,21,2,7,0.0
0,0,0,1,21,2,8,0.0
0,0,0,1,21,2,9,0.0
0,0,0,1,21,3,0,0.0
0,0,0,1,21,3,1,0.047619047619047616
0,0,0,1,21,3,2,0.047619047619047616
0,0,0,1,21,3,3,0.047619047619047616
0,0,0,1,21,3,4,0.0
0,0,0,1,21,3,5,0.0
0,0,0,1,21,3,6,0.0
0,0,0,1,21,3,7,0.0
0,0,0,1,21,3,8,0.0
0,0,0,1,21,3,9,0.0
0,0,0,1,21,4,0,0.0
0,0,0,1,21,4,1,0.0
0,0,0,1,21,4,2,0.0
0,0,0,1,21,4,3,0.0
0,0,0,1,21,4,4,0.0
0,0,0,1,21,4,5,0.0
0,0,0,1,21,4,6,0.0
0,0,0,1,21,4,7,0.0
0,0,0,1,21,4,8,0.0
0,0,0,1,21,4,9,0.0
0,0,0,1,21,5,0,0.0
0,0,0,1,21,5,1,0.0
0,0,0,1,21,5,2,0.0
0,0,0,1,21,5,3,0.0
0,0,0,1,21,5,4,0.0
0,0,0,1,21,5,5,0.0
0,0,0,1,21,5,6,0.0
0,0,0,1,21,5,7,0.0
0,0,0,1,21,5,8,0.0
0,0,0,1,21,5,9,0.0
0,0,0,1,21,6,0,0.0
0,0,0,1,21,6,1,0.0
0,0,0,1,21,6,2,0.0
0,0,0,1,21,6,3,0.0
0,0,0,1,21,6,4,0.0
0,0,0,1,21,6,5,0.0
0,0,0,1,21,6,6,0.0
0,0,0,1,21,6,7,0.0
0,0,0,1,21,6,8,0.0
0,0,0,1,21,6,9,0.0
0,0,0,1,21,7,0,0.0
0,0,0,1,21,7,1,0.0
0,0,0,1,21,7,2,0.0
0,0,0,1,21,7,3,0.0
0,0,0,1,21,7,4,0.0
0,0,0,1,21,7,5,0.0
0,0,0,1,21,7,6,0.0
0,0,0,1,21,7,7,0.0
0,0,0,1,21,7,8,0.0
0,0,0,1,21,7,9,0.0
0,0,0,1,21,8,0,0.0
0,0,0,1,21,8,1,0.0
0,0,0,1,21,8,2,0.0
0,0,0,1,21,8,3,0.0
0,0,0,1,21,8,4,0.0
0,0,0,1,21,8,5,0.0
0,0,0,1,21,8,6,0.0
0,0,0,1,21,8,7,0.0
0,0,0,1,21,8,8,0.0
0,0,0,1,21,8,9,0.0
0,0,0,1,21,9,0,0.0
0,0,0,1,21,9,1,0.0
0,0,0,1,21,9,2,0.0
0,0,0,1,21,9,3,0.0
0,0,0,1,21,9,4,0.0
0,0,0,1,21,9,5,0.0
0,0,0,1,21,9,6,0.0
0,0,0,1,21,9,7,0.0
0,0,0,1,21,9,8,0.0
0,0,0,1,21,9,9,0.0
0,0,0,2,12,0,0,0.0
0,0,0,2,12,0,1,0.25
0,0,0,2,12,0,2,0.16666666666666666
0,0,0,2,12,0,3,0.0
0,0,0,2,12,0,4,0.0
0,0,0,2,12,0,5,0.0
0,0,0,2,12,0,6,0.0
0,0,0,2,12,0,7,0.0
0,0,0,2,12,0,8,0.0
0,0,0,2,12,0,9,0.0
0,0,0,2,12,1,0,0.08333333333333333
0,0,0,2,12,1,1,0.3333333333333333
0,0,0,2,12,1,2,0.08333333333333333
0,0,0,2,12,1,3,0.0
0,0,0,2,12,1,4,0.0
0,0,0,2,12,1,5,0.0
0,0,0,2,12,1,6,0.0
0,0,0,2,12,1,7,0.0
0,0,0,2,12,1,8,0.0
0,0,0,2,12,1,9,0.0
0,0,0,2,12,2,0,0.0
0,0,0,2,12,2,1,0.0
0,0,0,2,12,2,2,0.0
0,0,0,2,12,2,3,0.0
0,0,0,2,12,2,4,0.0
0,0,0,2,12,2,5,0.0
0,0,0,2,12,2,6,0.0
0,0,0,2,12,2,7,0.0
0,0,0,2,12,2,8,0.0
0,0,0,2,12,2,9,0.0
0,0,0,2,12,3,0,0.0
0,0,0,2,12,3,1,0.0
0,0,0,2,12,3,2,0.08333333333333333
0,0,0,2,12,3,3,0.0
0,0,0,2,12,3,4,0.0
0,0,0,2,12,3,5,0.0
0,0,0,2,12,3,6,0.0
0,0,0,2,12,3,7,0.0
0,0,0,2,12,3,8,0.0
0,0,0,2,12,3,9,0.0
0,0,0,2,12,4,0,0.0
0,0,0,2,12,4,1,0.0
0,0,0,2,12,4,2,0.0
0,0,0,2,12,4,3,0.0
0,0,0,2,12,4,4,0.0
0,0,0,2,12,4,5,0.0
0,0,0,2,12,4,6,0.0
0,0,0,2,12,4,7,0.0
0,0,0,2,12,4,8,0.0
0,0,0,2,12,4,9,0.0
0,0,0,2,12,5,0,0.0
0,0,0,2,12,5,1,0.0
0,0,0,2,12,5,2,0.0
0,0,0,2,12,5,3,0.0
0,0,0,2,12,5,4,0.0
0,0,0,2,12,5,5,0.0
0,0,0,2,12,5,6,0.0
0,0,0,2,12,5,7,0.0
0,0,0,2,12,5,8,0.0
0,0,0,2,12,5,9,0.0
0,0,0,2,12,6,0,0.0
0,0,0,2,12,6,1,0.0
0,0,0,2,12,6,2,0.0
0,0,0,2,12,6,3,0.0
0,0,0,2,12,6,4,0.0
